Number of Cities,Total Length,Time (s)
12,366.2200783381621,0.0
12,324.68151356975596,0.0
12,348.9863366226937,0.0
12,374.33321247444775,0.0
12,341.8491300897681,0.0
12,345.3300626611741,0.0
12,340.44063870875806,0.0
12,398.4058326553178,0.0
12,387.5229766905264,0.0
12,315.89114544986086,0.0
12,420.8287438387814,0.0
12,317.9611952610562,0.0
12,443.6595802321067,0.0
12,334.3554390023026,0.0
12,407.5203295913843,0.0
12,438.81060684956304,0.0
12,346.89121850629806,0.0
12,416.1019173820134,0.0
12,310.61253805026183,0.0
12,341.0705949430948,0.0
12,366.42974230605216,0.0
12,348.77207071445935,0.0
12,467.1474030505866,0.0
12,341.6678114288526,0.0
12,339.641684736743,0.0
12,327.6722046387452,0.0
12,397.13266908658596,0.0
12,337.5081707403528,0.0
12,408.9936192940213,0.0
12,257.52858399648414,0.0
12,239.26011682238547,0.0
12,373.0158167215303,0.0
12,396.2203513229564,0.0
12,441.7665511690047,0.0
12,467.46988614952846,0.0
12,330.9151786465533,0.0
12,438.9767247854328,0.0
12,332.02405812258485,0.0
12,382.3025649542079,0.0
12,311.3433468553162,0.0
12,356.35083595604056,0.0
12,347.6755691567332,0.0
12,344.28897759646145,0.0
12,340.04097674874816,0.0
12,366.6142012730815,0.0
12,457.95193163518184,0.0
12,425.55912181733277,0.0
12,364.9337869543769,0.0
12,306.2735024895243,0.0
12,327.0623203748929,0.0
12,435.466011509707,0.0
12,383.4714027847426,0.0
12,360.37223833431904,0.0
12,372.6603472472273,0.0
12,316.5262994497634,0.0
12,360.1184161940447,0.0
13,310.4299531746156,0.0
13,301.90971780094793,0.0
13,333.1986846232861,0.0
13,387.85138716089574,0.0
13,378.84483663584103,0.0
13,354.88700672287223,0.0
13,321.21936430995277,0.0
13,348.7712135844826,0.0
13,358.5612377892411,0.0
13,366.85527220228846,0.0
13,320.37874195263527,0.0
13,369.49174442159085,0.0
13,307.9813445822966,0.0
13,357.1326822117495,0.0
13,345.4540200585024,0.0
13,283.97115862703674,0.0
13,420.1762739863689,0.0
13,353.14260703802915,0.0
13,402.3761210570362,0.0
13,432.14517910484017,0.0
13,394.58385013636746,0.0
13,429.6472732460036,0.0
13,338.8001851991634,0.0
13,322.3122878686208,0.0
13,369.2544366613521,0.0
13,384.0630574660599,0.0
13,366.7581971332155,0.0
13,341.56313183800233,0.0
13,375.4657979303108,0.0
13,373.7346648979654,0.0
13,292.3910632913261,0.0
13,366.4924666635908,0.0
13,375.555824073264,0.0
13,357.7964675237281,0.0
13,355.19415396853185,0.0
13,291.55567204706216,0.0
13,359.8794085555898,0.0
13,348.4990663503238,0.0
13,282.6577009600891,0.0
13,358.07878253943113,0.0
13,275.0496234935943,0.0
13,268.4911412968996,0.0
13,376.42318067669873,0.0
13,323.0993405067214,0.0
13,353.1264744510045,0.0
13,316.0824896543505,0.0
13,340.837832782069,0.0
13,412.33847695756003,0.0
13,285.01125012160924,0.0
13,443.0840390834869,0.0
13,387.7394190213979,0.0
13,272.54157710197916,0.0
13,378.68590313142823,0.0
13,320.50694384279785,0.0
13,340.7582615363371,0.0
13,371.64908367065914,0.0
13,493.8246276236009,0.0
13,334.9905727116553,0.0
13,383.140505133861,0.0
13,314.7026680854412,0.0
13,352.06657184182274,0.0
13,436.4863086605184,0.0
13,345.4825238983695,0.0
13,485.23047290198065,0.0
13,335.43536155378547,0.0
13,339.79699362329114,0.0
13,410.67065555778987,0.0
13,329.3481933754304,0.0
13,388.88855157233377,0.0
13,317.2416860255274,0.0
13,325.9932096574622,0.0
13,305.98816145775777,0.0
13,369.1588633279587,0.0
13,406.88209444836406,0.0
13,401.41327973946534,0.0
13,339.2105897764914,0.0
13,388.4068238053644,0.0
13,462.67170217226806,0.0
13,380.7275106131983,0.0
13,365.0327557647414,0.0
13,320.6083607614024,0.0
13,247.60015051177234,0.0
13,396.2098325365677,0.0
13,322.0678424237992,0.0
13,382.98823968853526,0.0
13,332.78487110064657,0.0
13,379.75918112567933,0.0
13,377.4785176783579,0.0
13,340.33142790009003,0.0
13,296.3772010319237,0.0
13,376.5315994718201,0.0
13,342.6000132730209,0.0
13,398.2359552920495,0.0
13,403.2014444794163,0.0
13,312.637693845903,0.0
13,358.08319096042305,0.0
13,431.83380660783894,0.0
13,396.27613339157574,0.0
13,363.85821123898097,0.002003908157348633
13,337.86159955380424,0.0
14,462.4228723906212,0.0
14,313.577639509358,0.0
14,491.17292769549897,0.0
14,385.7329032160315,0.0
14,391.15804061974103,0.0
14,380.5155584573489,0.0
14,360.4109553291122,0.0
14,357.30013899317913,0.0
14,414.58725856381704,0.0
14,321.1221138712877,0.0
14,405.7178618758844,0.0
14,441.2418699088288,0.0
14,401.20338738435385,0.0
14,373.5917839923197,0.0
14,327.4936903696349,0.0
14,297.4005573711953,0.0
14,351.24609433093815,0.0
14,415.56925608844125,0.0
14,428.1527731071842,0.0
14,328.91889990853275,0.0
14,443.91322592015877,0.0
14,344.5134451391471,0.0
14,288.4217342557821,0.0
14,271.2237459707576,0.0
14,384.58127371010283,0.0
14,390.4269904138723,0.0
14,357.4610888637581,0.0
14,265.47585606265073,0.0
14,374.09497558777844,0.0
14,437.4441610582049,0.0
14,294.95045613560285,0.0
14,375.45154462390803,0.0
14,411.9613275055908,0.0
14,332.9810615449451,0.0
14,356.8436533746871,0.0
14,392.956670826321,0.0
14,388.1240189736981,0.0
14,322.75454441796387,0.0
14,385.94437177774665,0.0
14,315.0649493477217,0.0
14,339.11769632725327,0.0
14,401.40259622210954,0.0
14,459.5173281184682,0.0
14,356.1683710570752,0.0
14,362.72723411670967,0.0
14,429.17846077549166,0.0
14,384.19321535205813,0.0
14,381.26171738676527,0.0
14,402.10033129197785,0.0
14,331.53372777166885,0.0
14,385.68355181258187,0.0
14,405.45176745925505,0.0
14,332.90651364643463,0.0
14,343.05099989145845,0.0
14,329.2736304703144,0.0
